 *** DISPLACEMENT ***
 NODE     U       V       T
          72  -19.533997866718341       -6.2178431378507497        13.067212478781610     
          73  -1.3340555901465785        1.6771283513155975        2.0722695559820092     
          74   22.260081719307404        5.6507912667029156       -8.3046451802796941     
          75   52.772124870850732        6.9745675105975824       -16.636936606836983     
          76  -35.885035043353014       -12.859798211350178        22.594785671758441     
          77  -21.496188276951525       -4.2556527279884531        11.864780640171883     
          78  -1.6396936340778905        1.9827663939598614        1.8112300049110102     
          79   23.456970478438933        4.4539025076294116       -6.9032684881022313     
          80   55.092793190396847        4.6538991902901508       -12.849950105867361     
          81  -39.277898808371567       -9.4669344481314166        20.515636068787209     
          82  -23.246119083547018       -2.5057219215077757        10.370198528471391     
          83  -1.9007331833909329        2.2438059425145482        1.5055919609294048     
          84   24.419899938214467        3.4909730485730179       -5.3319104181976780     
          85   56.792475023163121        2.9542173589291743       -8.7465551844411014     
          86  -42.303740135293758       -6.4410931257558310        17.931323420207725     
          87  -24.740701185328273       -1.0111398188903089        8.6202677150107689     
          88  -2.1107465790092927        2.4538193375706983        1.1628812465569347     
          89   25.125159579964027        2.7857134066292453       -3.6292630185449899     
          90   57.829318559935643        1.9173738227854691       -4.4277910476269557     
          91  -44.888052767112001       -3.8567804942055406        14.905482082542484     
          92  -25.943133010955773       0.19129200695972429        6.6580773039067411     
          93  -2.2645625933867590        2.6076353531998455       0.79153653558498149     
          94   25.555383571476273        2.3554894153082477       -1.8372511189695746     
          95   58.177793274013517        1.5688991091323983       -2.2858117224145222     
          96  -46.967202352951851       -1.7776309081027337        11.512618310393464     
          97  -26.823806700798372        1.0719656962179449        4.5319429321760758     
          98  -2.3583937665120560        2.7014665268266254       0.40070156908607069     
          99   25.699978369735469        2.2108946162157617       -1.0097548939842129     
         100  -48.489993329550714      -0.25483992874775235        7.8362756690295665     
         101  -27.361037143179473        1.6091961391789016        2.2942170851633517     
         102  -2.3899296638842937        2.7330024241777071        9.3900591745749523E-002
         103  -49.418929530926555       0.67409627138743133        3.9669779151126949     
         104  -27.541595943700070        1.7897549381561904        1.0821122483421264     
         105  -49.731137461482618       0.98630420454075185        1.9539417062827995     
